ENGLISH,,,FRENCH,,,,
Identification,,,Identification,,,,
,Sanitation Type,flush toilet; pour flush toilet; piped sewer system; septic tank; flush/pour flush to pit latrine; ventilated improved pit latrine (VIP); pit latrine with slab; composting toilet; flush/pour flush to elsewhere; pit latrine without slab; bucket; hanging toilet/ hanging latrine; no facilities or bush or field; other,,Type d'assainissement,"toilettes à chasse d'eau; toilettes à chasse d'eau manuelle; réseau d'égouts; fosse septique; latrine à fosse à chasse d'eau; latrine à fosse ventilée; latrine à fosse avec plaque; toilettes compostées; toilettes/latrine à chasse d'eau non raccordée; latrine à fosse sans plaque ou à ciel ouvert;  latrine au ""seau""; toilettes/ latrine suspendues; aucune installation sanitaire (champs/ nature); autre",,
,Sewage system,none; open sewer system; single pit; septic system; piped sewer system; trucking (gully emptier) to sewage plant; trucking (gully emptier) to open dumping; other ,,Système de gestion des eaux usées,aucun; système d'égouts à ciel ouvert; fosse simple; fosse septique; réseau d'égouts; évacuation par camion de vidange vers une station d'épuration; évacuation par camion de vidange vers lieu à ciel ouvert; autre   ,,
,Drainage,none; open drains; covered drains; other,,Système de drainage et d'égouts,aucun; drains ouverts (égouts à ciel ouvert); drains couverts; autre   ,,
,Waste treatment,burn on site; dump on site; door-to-door collection; central collection; other,,Traitement des déchets,brûlés sur place; vidés sur place; collecte porte-à-porte; point de collecte central; autre ,,
,Bathroom location,in shelter; on plot; communal; other,,Emplacement de la salle de bains ,dans le logement; sur le terrain; communale; autre ,,
,Distance to the bathroom,,,Distance jusqu'à la salle de bains,,,
,Type of Bathroom,"bucket shower; container; bathtub; shower; river, pond, lake; other",,Type de salle de bains,douche au seau; récipient; baignoire; douche; rivière; étang; lac; autre   ,"""8/8",
,Heating system,none; stove; electrical heater; fireplace/hearth; central heating; other,,Système de chauffage,aucun; poêle/cuisinière; chauffage électrique; cheminée; chauffage central; autre ,,
,Energy Source for heating system,none; gas; oil; electricity (grid); electricity (battery); wood; coal/charcoal; biomass; wind; solar; other,,Source d'énergie pour le système de chauffage,aucune; gaz; essence; électricité (réseau); électricité (batterie); bois; charbon; biomasse; éolienne; solaire; autre  ,,
,Cooling system,none; natural ventilation; fan; air conditioning,,Système de refroidissement,aucun; ventilation naturelle; ventilateur; air conditionné ,,
,Energy Source for cooling system,none; electricity (grid); electricity (battery); wind; solar; other,,Source d'énergie pour le système de refroidissement,aucun; électricité (réseau); électricité (batterie); éolienne; solaire; autre    ,"""6/6",
,Type of natural ventilation,none; foundation vent; outside-air intake - bottom part of the wall; outside-air intake - above doors and windows; roof vent; air vent between rooms; trickle vent in windows or doors; vent pipe in roof; chimney; other,,Type de ventilation naturelle,aucune; prise d'air pour fondations; prise d'air en partie basse des murs; prise d'air au-dessus des portes des fenêtres; prise d'air dans les combles; bouche d'air (entre pièces); bouche avec déflecteur (portes et fenêtres); conduit de ventilation; cheminée; autre  ,,
,Number of ventilation openings,,,Nombre de bouches de ventilation,,,
,Lighting,none; candles; torch/flashlight (battery powered); oil/kerosene lamp; electrical powered lamp; solar powered lamp; other,,Eclairage,aucun; bougies; torche/lampe de poche (batterie); lampe à huile/ kérosène; lampe alimentée par énergie électrique; lampe solaire; autre  ,,
,Energy Source (Appliances),none; gas; electricity (grid); electricity (battery); wood; coal/charcoal; biomass; wind; solar; other,,Source d'énergie (appareils),aucun; gaz; électricité (réseau); électricité (batterie); bois; charbon; biomasse; éolienne; solaire; autre     ,,
,Kitchen location,in shelter; on plot; communal; other,,Emplacement de la cuisine,dans le logement; sur le terrain; communale; autre ,,
,Kitchen Type,none; open fire; portable stove; stove; other,,Type de cuisine,aucune; feu; cuisinière portative; cuisinière; autre,,
,Cooking Energy Source,wood; biomass; oil; gas; coal/charcoal; kerosene; electricity; solar; other,,Source d'énergie pour la cuisine,bois; biomasse; essence/huile; gaz; charbon; kérosène; electricité; solaire; autre ,,
,Comment,,,Commentaire,,,
Spaceplan,,,Espace intérieur,,,,
,Partitions,none; walls; half walls; screens; curtains,,Cloisons,aucun; mur; demi-mur; écran; rideaux ,,
,Partition structure material,none; bamboo; timber; wood; brick; concrete block; block; adobe/ sun-dried brick; steel; plastic; textile; other,,Structure de la cloison (matériaux) ,aucun; bambou; bois (débité); bois (non débité); briques; blocs (de béton); blocs; briques de terre crue; acier; plastique; textile; autre ,"""12/12",
,Partition finish,none; metal sheeting; timber; wood; plywood; bamboo; cement plaster; mud plaster; wallpaper; paint; hand woven mat (organic material); other,,Finition des cloisons,aucun; tôle métallique; bois (débité); bois (non débité); contreplaqué; bambou; enduit de ciment; enduit de terre; papier peint; peinture; natte tissée ou tressée (matériau organique); autre ,,
,Ceiling structure material,none; timber; wood; plywood; bamboo; other,,Structure du faux-plafond (matériaux),aucun; bois (débité); bois (non débité); contreplaqué; bambou; autre,,
,Ceiling Finish Material,none; cement plaster; mud plaster; wallpaper; paint; organic material; other,,Finition du faux-plafond,aucun; enduit de ciment; enduit de terre; papier peint; peinture; matériau organique; autre ,,
,Possible extension of the shelter structure,,,Agrandissement possible de la structure de l'abri,,,
,implemented extention to the shelter (at survey date),,,Agrandissement réalisé de l'abri (lors de l'enquête),,,
,Comment,,,Commentaire,,,
Documents,,,Documentation,,,,
,Project narrative,,,Descriptif de projet,,,
,Technical description,,,Descriptif technique,,,
,(Priced) Bill of Quantity (BoQ),,,Devis Quantitatif Estimatif (DQE avec les prix),,,
,Design Drawings,,,Dessins d'exécution,,,
,Site plan,,,Plan de masse / plan de situation,,,
,Satellite picture,,,Photo satellite,,,
,Pictures/video of setting,,,Photos/ vidéo de l'implantation,,,
,Pictures/video of elevations,,,Photos/ vidéo des élévations (façades),,,
,Pictures/video of extensions,,,Photos/ vidéo des agrandissements,,,
,Pictures/video of details,,,Photos/ vidéo des détails,,,
,Pictures/video of living practices,,,Photos/ vidéo des pratiques de vie,,,
,Comment,,,Commentaires,,,
